A,לא מאושר,"""הי, לצערנו אין אישור להמשיך בתהליך, כנראה שנמצאה חוסר התאמה (רפואית, נפשית או פלילית). לפרטים נוספים, פנה לצוות הגיוס"""
B,לא רלוונטי - יהודי,"""שלום, יש בעיה עם הרישום שלך כיהודי. נדרש להוציא תמצית מרשם אוכלוסין ממשרד הפנים (באינטירנט) ולהעביר לצוות הגיוס"""
C,לא רלוונטי - גיל,"""יש בעיה - אתם לא נמצאים בטווח הגילאים המתאים. גיל מבוגר ניתן לנסות להחריג """
D,פרופיל לא תקין,"""הי, לצערנו אין אפשרות להמשיך בתהליך הגיוס עם הפרופיל הנוכחי"""
E,חויל ,"""מזל טוב! הגעת ליחידה ולנחלה. תודה רבה על השירות"""
F,בטירונות,"""עוד קצת ומתחילים מילואים!! :)"""
G,מיוצב לטירונות,"""זהו! מוכנים לטירונות. אתם בפנים!"""
H,מוכן לגיוס,"""מצוין! הפרופיל שלך תקין, עכשיו נשארה רק הרשמה לטירונות. כנראה שייצרו איתך קשר ממיט""ב כדי להזמין לטירונות הקרובה"""
I,פרופיל תקין,"""בשורות מעולות!! יש לך פרופיל מתאים וכנראה שממש בקרוב תוכל לקבל אישור לגיוס בהצלחה!!"""
J,השלמת מסמכים - רפואי,"""הי! איך היה בצו ראשון? שמענו שחסר לך מסמך רפואי - ברגע שתשיג אותו, שלח אותו לצוות הגיוס כדי שיעבירו לצוות המטפל במיט""ב. בהצלחה ורפואה שלמה!!"""
K,עבר צו ראשון,"""עברת צו ראשון, זה מעולה! זה אומר שעברנו את הבעיות הבירוקרטיות"""
L,מזומן לצו ראשון,"""יופי! נקבע לך תאריך לצו ראשון - מזכירים לך להגיע עם האישור הרפואי בתוקף (תקף עד 4 חודשים מהחתימה)"""
M,אישור לביצוע צו ראשון,"""זה ממש אחלה, אישרו אותך להתחיל בתהליך, השלב הבא זה תור לצו ראשון, נציגי מיט""ב יצרו איתך קשר בשבועיים הקרובים כדי לזמן אותך לצו ראשון, זה הזמן לבדוק את האישור הרפואי (בתוקף עד 4 חודשים), בהצלחה!!"""
N,נדרש בפתיחת רשומה,"""הצבא עוד לא מכיר אותך! עכשיו צריך לפתוח רשומה כדי שיהיה אפשר להכיר אותך ולהכשיר אותך לטירונות. לצערנו, ההליך הזה יכול לקחת זמן, אז התמלאו סבלנות וקוו לטוב. בפתיחת רשומה עוברים על פרטים ממשרד הפנים/משטרה/קופות חולים אז זה תהליך שלוקח זמן"""
O,ממתין לאישור גורמי הצבא,"""העברנו את הפרטים שלך והם נבחנים כעת ביחידות צה""ל על מנת למצוא לך התאמה (הבדיקות מתבצעות על ידי הגופים אכ""א ומיט""ב)"""
P,הרשמה בוצעה בהצלחה,"""עשית את הצעד הראשון! עכשיו, אנחנו עוברים על הפרטים ומעבירים אותם לבדיקה על ידי צה""ל כדי לקבל אישור להתחלת התהליך"""
Q,אין הרשמה,"""לא מצאנו את ההרשמה שלך, עוד לא עשית את הצעד הזה? אם עשית, צור קשר עם צוות הגיוס"""
